Count Sec mSec ID Len SrcPort DestPort Flags
355 1607293080 437225 25283 2852 443 54598 16
356 1607293080 437480 25285 2852 443 54598 16
357 1607293080 437723 25287 2852 443 54598 16
358 1607293080 437981 25289 3464 443 54598 24
359 1607293080 437994 25292 287 443 54598 24
360 1607293080 438226 25293 2852 443 54598 16
361 1607293080 438473 25295 2852 443 54598 16
362 1607293080 438723 25297 2852 443 54598 16
363 1607293080 438987 25299 2852 443 54598 16
364 1607293080 439505 25301 2852 443 54598 16
365 1607293080 439520 25303 2852 443 54598 16
366 1607293080 439729 25305 2852 443 54598 16
367 1607293080 439977 25307 2852 443 54598 16
368 1607293080 440225 25309 2852 443 54598 16
369 1607293080 440485 25311 2852 443 54598 16
370 1607293080 440742 25313 4252 443 54598 16
371 1607293080 440985 25316 2852 443 54598 16
372 1607293080 441231 25318 2852 443 54598 16
373 1607293080 441478 25320 2852 443 54598 16
374 1607293080 441734 25322 2852 443 54598 16
375 1607293080 441979 25324 2852 443 54598 16
376 1607293080 442257 25326 3128 443 54598 24
377 1607293080 442272 25329 52 443 54598 16
378 1607293080 442475 25330 2852 443 54598 16
379 1607293080 442730 25332 2852 443 54598 16
380 1607293080 442980 25334 2852 443 54598 16
381 1607293080 443225 25336 2852 443 54598 16
382 1607293080 443480 25338 2852 443 54598 16
383 1607293080 443728 25340 2852 443 54598 16
384 1607293080 443981 25342 2852 443 54598 16
385 1607293080 444241 25344 4252 443 54598 16
386 1607293080 444476 25347 2852 443 54598 16
387 1607293080 444734 25349 1819 443 54598 24
388 1607293080 444751 25351 1452 443 54598 16
389 1607293080 444977 25352 2852 443 54598 16
390 1607293080 445226 25354 2852 443 54598 16
391 1607293080 445476 25356 2852 443 54598 16
392 1607293080 445724 25358 2852 443 54598 16
393 1607293080 445972 25360 2852 443 54598 16
394 1607293080 446232 25362 2852 443 54598 16
395 1607293080 446480 25364 2852 443 54598 16
396 1607293080 446724 25366 2852 443 54598 16
397 1607293080 446976 25368 2852 443 54598 16
398 1607293080 447225 25370 2852 443 54598 16
399 1607293080 447501 25372 2432 443 54598 24
400 1607293080 447514 25374 52 443 54598 16
401 1607293080 447522 25375 1452 443 54598 16
402 1607293080 447736 25376 2431 443 54598 24
403 1607293080 447975 25378 2852 443 54598 16
404 1607293080 448226 25380 2852 443 54598 16
405 1607293080 448478 25382 2852 443 54598 16
406 1607293080 448731 25384 4252 443 54598 16
407 1607293080 448975 25387 2852 443 54598 16
408 1607293080 449227 25389 1058 443 54598 24
409 1607293080 449241 25390 1452 443 54598 16
410 1607293080 449475 25391 2852 443 54598 16
411 1607293080 449725 25393 2852 443 54598 16
412 1607293080 449974 25395 2852 443 54598 16
413 1607293080 450229 25397 2852 443 54598 16
414 1607293080 450494 25399 4252 443 54598 16
415 1607293080 450729 25402 2852 443 54598 16
416 1607293080 450987 25404 2852 443 54598 16
417 1607293080 451240 25406 2852 443 54598 16
418 1607293080 451482 25408 2852 443 54598 16
419 1607293080 451731 25410 2852 443 54598 16
420 1607293080 451974 25412 2372 443 54598 24
421 1607293080 452227 25414 2852 443 54598 16
422 1607293080 452474 25416 4252 443 54598 16
423 1607293080 452725 25419 2852 443 54598 16
424 1607293080 452976 25421 2852 443 54598 16
425 1607293080 453222 25423 2852 443 54598 16
426 1607293080 453482 25425 2852 443 54598 16
427 1607293080 453734 25427 2852 443 54598 16
428 1607293080 453974 25429 2852 443 54598 16
429 1607293080 454235 25431 2852 443 54598 16
430 1607293080 454477 25433 2852 443 54598 16
431 1607293080 454727 25435 2852 443 54598 16
432 1607293080 454978 25437 4252 443 54598 16
433 1607293080 455230 25440 2852 443 54598 16
434 1607293080 460641 25442 2852 443 54598 16
435 1607293080 460691 25444 2852 443 54598 16
436 1607293080 460701 25446 2852 443 54598 16
437 1607293080 460729 25448 2852 443 54598 16
438 1607293080 460739 25450 2852 443 54598 16
439 1607293080 460748 25452 2852 443 54598 16
440 1607293080 460758 25454 2852 443 54598 16
441 1607293080 460767 25456 2852 443 54598 16
442 1607293080 460778 25458 4252 443 54598 16
443 1607293080 460790 25461 2852 443 54598 16
444 1607293080 460800 25463 2852 443 54598 16
445 1607293080 460811 25465 2852 443 54598 16
446 1607293080 460820 25467 2661 443 54598 24
447 1607293080 460827 22536 52 443 43012 16
448 1607293080 460834 20493 52 443 37490 16
449 1607293080 460841 20494 1452 443 37490 16
450 1607293080 460851 20495 1390 443 37490 24
451 1607293080 460866 22537 3484 443 43012 24
452 1607293080 460876 25469 2852 443 54598 16
453 1607293080 460968 25471 2852 443 54598 16
454 1607293080 460978 25473 2852 443 54598 16
455 1607293080 460986 25475 2852 443 54598 16
456 1607293080 460995 25477 3009 443 54598 24
457 1607293080 461001 25480 52 443 54598 16
458 1607293080 461009 25481 2852 443 54598 16
459 1607293080 461017 25483 2098 443 54598 24
460 1607293080 462466 22540 684 443 43012 24
461 1607293080 462677 20496 1390 443 37490 24
462 1607293080 475568 25485 52 443 54598 16
463 1607293080 476537 25486 52 443 54598 16
464 1607293080 476891 25487 2852 443 54598 16
465 1607293080 477179 25489 2852 443 54598 16
466 1607293080 477354 25491 2852 443 54598 16
467 1607293080 477595 25493 2852 443 54598 16
468 1607293080 477908 25495 2852 443 54598 16
469 1607293080 478122 25497 2018 443 54598 24
470 1607293080 478139 25499 1452 443 54598 16
471 1607293080 478419 25500 2922 443 54598 24
472 1607293080 478597 25503 2852 443 54598 16
473 1607293080 478848 25505 2852 443 54598 16
474 1607293080 479125 25507 1222 443 54598 24
475 1607293080 479141 25508 1452 443 54598 16
476 1607293080 479364 25509 2852 443 54598 16
477 1607293080 479610 25511 2852 443 54598 16
478 1607293080 479865 25513 2852 443 54598 16
479 1607293080 480157 25515 4252 443 54598 16
480 1607293080 480365 25518 2458 443 54598 24
481 1607293080 480662 25520 2852 443 54598 16
482 1607293080 480889 25522 2852 443 54598 16
483 1607293080 481098 25524 2852 443 54598 16
484 1607293080 481417 25526 2029 443 54598 24
485 1607293080 481431 25528 1452 443 54598 16
486 1607293080 481607 25529 2852 443 54598 16
487 1607293080 481868 25531 2852 443 54598 16
488 1607293080 482195 25533 1326 443 54598 24
489 1607293080 482208 25534 1115 443 54598 24
490 1607293080 482217 25535 1293 443 54598 24
491 1607293080 634502 54643 52 443 38868 16
492 1607293080 635093 54644 2852 443 38868 16
493 1607293080 635327 54646 1348 443 38868 24
494 1607293080 635343 54647 82 443 38868 24
495 1607293080 652115 49017 52 443 56328 16
496 1607293080 652146 49018 1452 443 56328 16
497 1607293080 652309 49019 1452 443 56328 16
498 1607293080 652570 49020 1348 443 56328 24
499 1607293080 652584 49021 83 443 56328 24
500 1607293080 663808 15939 363 443 36136 24
501 1607293080 663957 53665 363 443 45288 24
502 1607293080 663971 15940 425 443 36136 24
503 1607293080 663986 53666 363 443 45288 24
504 1607293080 664116 53667 114 443 45288 24
505 1607293080 674237 2733 363 443 50528 24
506 1607293080 674493 2734 425 443 50528 24
507 1607293080 677987 55983 52 443 57792 16
508 1607293080 678756 55984 363 443 57792 24
509 1607293080 678785 55985 425 443 57792 24
510 1607293080 680656 18628 363 443 59654 24
511 1607293080 680699 18629 425 443 59654 24
512 1607293080 688074 25536 52 443 54598 16
513 1607293080 694658 9851 363 443 32984 24
514 1607293080 695326 9852 425 443 32984 24
515 1607293080 702160 25537 52 443 54598 16
516 1607293080 702344 25538 1027 443 54598 24
517 1607293080 703215 53668 83 443 45288 24
518 1607293080 704509 53669 2852 443 45288 16
519 1607293080 704714 53671 1228 443 45288 24
520 1607293080 704727 53672 1452 443 45288 16
521 1607293080 704964 53673 2852 443 45288 16
522 1607293080 705214 53675 2852 443 45288 16
523 1607293080 705460 53677 2852 443 45288 16
524 1607293080 705724 15941 52 443 36136 16
525 1607293080 705739 53679 2852 443 45288 16
526 1607293080 706074 15942 83 443 36136 24
527 1607293080 708486 15943 2847 443 36136 24
528 1607293080 708537 2735 52 443 50528 16
529 1607293080 708709 2736 358 443 50528 24
530 1607293080 708965 2737 2852 443 50528 16
531 1607293080 709215 2739 953 443 50528 24
532 1607293080 709228 2740 765 443 50528 24
533 1607293080 712416 55986 52 443 57792 16
534 1607293080 712466 55987 83 443 57792 24
535 1607293080 714862 55988 2852 443 57792 16
536 1607293080 715075 55990 486 443 57792 24
537 1607293080 716366 18630 83 443 59654 24
538 1607293080 716632 18631 2421 443 59654 24
539 1607293080 716985 9853 52 443 32984 16
540 1607293080 717000 9854 404 443 32984 24
541 1607293080 717219 9855 2588 443 32984 24
542 1607293080 723100 2741 765 443 50528 24
543 1607293080 723163 53681 1452 443 45288 16
544 1607293080 734663 9857 1188 443 32984 24
545 1607293080 735307 55991 486 443 57792 24
546 1607293080 736557 18633 1021 443 59654 24
547 1607293080 743736 25539 52 443 54598 16
548 1607293080 751127 53682 2852 443 45288 16
549 1607293080 751299 53684 2852 443 45288 16
550 1607293080 751537 53686 2852 443 45288 16
551 1607293080 751790 53688 2852 443 45288 16
552 1607293080 752046 53690 2852 443 45288 16
553 1607293080 752285 53692 2852 443 45288 16
554 1607293080 752534 53694 2852 443 45288 16
555 1607293080 752799 53696 2852 443 45288 16
556 1607293080 753038 53698 2852 443 45288 16
557 1607293080 753305 53700 2428 443 45288 24
558 1607293080 768398 55992 2864 443 57792 24
559 1607293080 768429 31730 52 443 55958 16
560 1607293080 769038 31731 2852 443 55958 16
561 1607293080 769266 31733 1348 443 55958 24
562 1607293080 769279 31734 83 443 55958 24
563 1607293080 786732 54648 363 443 38868 24
564 1607293080 786778 54649 363 443 38868 24
565 1607293080 789225 54650 114 443 38868 24
566 1607293080 792231 25540 52 443 54598 16
567 1607293080 805074 49022 363 443 56328 24
568 1607293080 805333 49023 425 443 56328 24
569 1607293080 808868 25541 52 443 54598 16
570 1607293080 813842 25542 52 443 54598 16
571 1607293080 840277 0 60 443 40168 18
572 1607293080 841681 0 60 443 41740 18
573 1607293080 841949 0 60 443 52854 18
574 1607293080 842682 0 60 443 43094 18
575 1607293080 843328 0 60 443 58482 18
576 1607293080 843620 0 60 443 55378 18
577 1607293080 843634 0 60 443 45084 18
578 1607293080 843642 0 60 443 45360 18
579 1607293080 845195 0 60 443 43812 18
580 1607293080 845227 0 60 443 58844 18
581 1607293080 846068 0 60 443 32834 18
582 1607293080 848044 25543 52 443 54598 16
583 1607293080 859495 54651 52 443 38868 16
584 1607293080 859534 54652 83 443 38868 24
585 1607293080 860953 49024 83 443 56328 24
586 1607293080 861516 54653 2852 443 38868 16
587 1607293080 861742 54655 1071 443 38868 24
588 1607293080 861755 49025 1080 443 56328 24
589 1607293080 862945 53702 52 443 45288 16
590 1607293080 874921 2742 52 443 50528 16
591 1607293080 874962 15945 52 443 36136 16
592 1607293080 878595 0 60 443 55572 18
593 1607293080 878664 9858 52 443 32984 16
594 1607293080 880909 55995 52 443 57792 16
595 1607293080 884448 18634 52 443 59654 16
596 1607293080 897578 31735 363 443 55958 24
597 1607293080 897847 31736 425 443 55958 24
598 1607293080 902061 46532 52 443 37252 16
599 1607293080 902125 46533 52 443 37252 16
600 1607293080 902510 51188 52 443 52854 17
601 1607293080 903499 23632 52 443 41740 17
602 1607293080 903761 46534 306 443 37252 24
603 1607293080 904639 33508 52 443 58482 17
604 1607293080 907050 45874 52 443 40168 17
605 1607293080 908446 25544 52 443 54598 16
606 1607293080 908474 25545 52 443 54598 17
607 1607293080 908714 25546 52 443 54598 16
608 1607293080 912065 17752 52 443 45360 17
609 1607293080 913203 28438 52 443 45084 17
610 1607293080 914155 3508 52 443 55378 17
611 1607293080 914205 56375 52 443 43812 16
612 1607293080 914687 56376 52 443 43812 17
613 1607293080 920287 50299 52 443 32834 17
